postcode,climate_zone
3483,Hamilton
3484,Hamilton
3485,Hamilton
3491,Hamilton
3492,Taupo
3493,Hamilton
3494,Hamilton
3495,Hamilton
3496,Hamilton
3500,Auckland
3503,Hamilton
3506,Auckland
3508,Auckland
3510,Auckland
3574,Hamilton
3575,Auckland
3576,Hamilton
3577,Auckland
3578,Auckland
3579,Auckland
3581,Auckland
3582,Auckland
3583,Auckland
3584,Auckland
3591,Auckland
3592,Auckland
3597,Hamilton
3600,Hamilton
3610,Hamilton
3611,Bay of Plenty
3620,Auckland
3671,Hamilton
3672,Hamilton
3673,Hamilton
3674,Hamilton
3681,Hamilton
3682,Hamilton
3691,Auckland
3700,Hamilton
3710,Hamilton
3720,Hamilton
3721,Hamilton
3771,Hamilton
3772,Hamilton
3781,Hamilton
3782,Hamilton
3784,Hamilton
3791,Hamilton
3792,Hamilton
3793,Hamilton
3794,Hamilton
3800,Hamilton
3802,Hamilton
3803,Hamilton
3872,Hamilton
3873,Hamilton
3874,Hamilton
3875,Hamilton
3876,Hamilton
3877,Hamilton
3878,Hamilton
3879,Hamilton
3880,Hamilton
3881,Hamilton
3882,Hamilton
3883,Hamilton
3885,Hamilton
3886,Hamilton
3889,Hamilton
3894,Hamilton
3895,Hamilton
3900,Hamilton
3910,Hamilton
3912,Hamilton
3920,Taupo
3924,Taupo
3926,Taupo
3970,Hamilton
3971,Hamilton
3972,Hamilton
3973,Hamilton
3974,Hamilton
3975,Hamilton
3976,Hamilton
3977,Hamilton
3978,Hamilton
3979,Hamilton
3980,Taupo
3981,Hamilton
3982,Hamilton
3983,Hamilton
3985,Hamilton
3986,Hamilton
3987,Hamilton
3988,Hamilton
3989,Taupo
3990,Taupo
3991,Taupo
3992,Taupo
3993,Taupo
3994,Taupo
3995,Taupo
3996,Taupo
3997,Taupo
3998,Taupo
4010,East Coast
4022,East Coast
4032,East Coast
4071,East Coast
4072,East Coast
4073,East Coast
4075,East Coast
4077,East Coast
4078,East Coast
4079,East Coast
4081,East Coast
4082,East Coast
4083,East Coast
4086,East Coast
4087,East Coast
4091,East Coast
4092,East Coast
4093,East Coast
4094,East Coast
4102,East Coast
4104,East Coast
4108,East Coast
4110,East Coast
4112,East Coast
4120,East Coast
4122,East Coast
4130,East Coast
4171,East Coast
4172,East Coast
4174,East Coast
4175,East Coast
4178,East Coast
4179,East Coast
4180,East Coast
4181,East Coast
4182,East Coast
4183,East Coast
4184,East Coast
4186,East Coast
4188,East Coast
4189,East Coast
4191,East Coast
4193,East Coast
4195,East Coast
4196,East Coast
4197,East Coast
4198,East Coast
4200,East Coast
4202,East Coast
4203,East Coast
4210,East Coast
4271,East Coast
4272,East Coast
4273,East Coast
4274,East Coast
4275,East Coast
4276,East Coast
4277,East Coast
4278,East Coast
4279,East Coast
4281,East Coast
4282,East Coast
4283,East Coast
4284,East Coast
4285,East Coast
4286,East Coast
4287,East Coast
4288,East Coast
4291,East Coast
4292,East Coast
4293,East Coast
4294,East Coast
4295,East Coast
4310,New Plymouth
4312,New Plymouth
4314,New Plymouth
4320,New Plymouth
4322,New Plymouth
4330,New Plymouth
4332,New Plymouth
4335,New Plymouth
4371,New Plymouth
4372,New Plymouth
4373,New Plymouth
4374,New Plymouth
4375,New Plymouth
4376,Hamilton
4377,New Plymouth
4378,New Plymouth
4379,New Plymouth
4381,New Plymouth
4382,New Plymouth
4383,New Plymouth
4386,New Plymouth
4387,New Plymouth
4388,New Plymouth
4389,New Plymouth
4390,New Plymouth
4391,New Plymouth
4392,New Plymouth
4393,New Plymouth
4394,New Plymouth
4395,New Plymouth
4396,New Plymouth
4397,New Plymouth
4398,New Plymouth
4399,New Plymouth
4410,Manawatu
4412,Manawatu
4414,Manawatu
4470,Manawatu
4471,Manawatu
4472,Manawatu
4473,Manawatu
4474,Manawatu
4475,Manawatu
4476,Manawatu
4477,Manawatu
4478,Manawatu
4479,Manawatu
4481,Manawatu
4500,New Plymouth
4501,New Plymouth
4510,New Plymouth
4520,New Plymouth
4571,New Plymouth
4572,New Plymouth
4573,New Plymouth
4574,New Plymouth
4575,New Plymouth
4576,New Plymouth
4577,Manawatu
4578,New Plymouth
4581,Manawatu
4582,New Plymouth
4584,New Plymouth
4585,New Plymouth
4586,New Plymouth
4587,New Plymouth
4588,New Plymouth
4591,New Plymouth
4592,New Plymouth
4597,New Plymouth
4598,New Plymouth
4610,New Plymouth
4612,New Plymouth
4614,New Plymouth
4616,New Plymouth
4625,Taupo
4632,Taupo
4671,New Plymouth
4672,New Plymouth
4673,New Plymouth
4674,New Plymouth
4675,New Plymouth
4678,New Plymouth
4679,New Plymouth
4681,New Plymouth
4682,New Plymouth
4684,New Plymouth
4685,New Plymouth
4691,Taupo
4694,Taupo
4696,Taupo
4702,Manawatu
4710,Manawatu
4720,Taupo
4730,Manawatu
4771,Manawatu
4774,Manawatu
4775,Manawatu
4777,Manawatu
4779,Manawatu
4780,Manawatu
4781,Manawatu
4782,Taupo
4783,Manawatu
4784,Manawatu
4785,Manawatu
4786,Manawatu
4787,Manawatu
4788,Manawatu
4789,Manawatu
4791,Taupo
4792,Taupo
4793,Taupo
4794,Taupo
4795,Taupo
4796,Taupo
4797,Taupo
4810,Manawatu
4814,Manawatu
4815,Manawatu
4816,Manawatu
4817,Manawatu
4818,Manawatu
4820,Manawatu
4821,Manawatu
4822,Manawatu
4825,Taupo
4826,Taupo
4884,Manawatu
4891,Manawatu
4893,Manawatu
4894,Manawatu
4900,Wairarapa
4910,Wairarapa
4920,Wairarapa
4930,Wairarapa
4970,Wairarapa
4971,Wairarapa
4972,Wairarapa
4973,Wairarapa
4974,Wairarapa
4975,Wairarapa
4976,Wairarapa
4977,Wairarapa
4978,Wairarapa
4979,Wairarapa
4981,Wairarapa
4982,Wairarapa
4983,Wairarapa
4984,Wairarapa
4985,Wairarapa
4986,Wairarapa
4987,Wairarapa
4988,Wairarapa
4989,Wairarapa
4990,Wairarapa
4991,Wairarapa
4992,Wairarapa
4993,Wairarapa
4994,Wairarapa
4995,Wairarapa
4996,Wairarapa
4997,Wairarapa
4998,Wairarapa
4999,Wairarapa
5010,Wellington
5011,Wellington
5012,Wellington
5013,Wellington
5014,Wellington
5016,Wellington
5018,Wairarapa
5019,Wellington
5022,Wellington
5024,Wellington
5026,Wellington
5028,Wellington
5032,Manawatu
5034,Manawatu
5036,Manawatu
5371,Wairarapa
5372,Wairarapa
5373,Wellington
5381,Wellington
5391,Manawatu
5510,Manawatu
5512,Manawatu
5570,Manawatu
5571,Manawatu
5572,Manawatu
5573,Manawatu
5574,Manawatu
5575,Manawatu
5581,Manawatu
5582,Manawatu
5583,Wairarapa
5710,Wairarapa
5711,Wairarapa
5712,Wairarapa
5713,Wairarapa
5771,Wairarapa
5772,Wairarapa
5773,Wairarapa
5781,Wairarapa
5782,Wairarapa
5783,Wairarapa
5784,Wairarapa
5791,Wairarapa
5792,Wairarapa
5794,Wairarapa
5810,Wairarapa
5871,Wairarapa
5872,Wairarapa
5881,Wairarapa
5882,Wairarapa
5883,Wairarapa
5884,Wairarapa
5885,Wairarapa
5886,Wairarapa
5887,Wairarapa
5888,Wairarapa
5889,Wairarapa
5890,Wairarapa
5894,Wairarapa
6011,Wellington
6012,Wellington
6021,Wellington
6022,Wellington
6023,Wellington
6035,Wellington
6037,Wellington
6972,Wellington
7005,Nelson-Marlborough
7007,Nelson-Marlborough
7010,Nelson-Marlborough
7011,Nelson-Marlborough
7020,Nelson-Marlborough
7022,Nelson-Marlborough
7025,Nelson-Marlborough
7071,Nelson-Marlborough
7072,Nelson-Marlborough
7073,Nelson-Marlborough
7077,Nelson-Marlborough
7081,Nelson-Marlborough
7091,Nelson-Marlborough
7095,Nelson-Marlborough
7096,Nelson-Marlborough
7100,Nelson-Marlborough
7110,Nelson-Marlborough
7120,Nelson-Marlborough
7173,Nelson-Marlborough
7175,Nelson-Marlborough
7178,Nelson-Marlborough
7182,Nelson-Marlborough
7183,Nelson-Marlborough
7192,Nelson-Marlborough
7193,Nelson-Marlborough
7194,Nelson-Marlborough
7195,Nelson-Marlborough
7196,Nelson-Marlborough
7197,Nelson-Marlborough
7198,Nelson-Marlborough
7201,Nelson-Marlborough
7202,Nelson-Marlborough
7204,Nelson-Marlborough
7206,Nelson-Marlborough
7210,Nelson-Marlborough
7220,Nelson-Marlborough
7271,Nelson-Marlborough
7272,Nelson-Marlborough
7273,Nelson-Marlborough
7274,Nelson-Marlborough
7275,Nelson-Marlborough
7276,Nelson-Marlborough
7281,Nelson-Marlborough
7282,Nelson-Marlborough
7284,Nelson-Marlborough
7285,Nelson-Marlborough
7300,Nelson-Marlborough
7310,Christchurch
7332,Christchurch
7334,Christchurch
7371,Nelson-Marlborough
7373,Christchurch
7374,Nelson-Marlborough
7379,Christchurch
7381,Christchurch
7382,Christchurch
7383,Christchurch
7384,Christchurch
7385,Christchurch
7387,Christchurch
7391,Christchurch
7392,Christchurch
7395,Christchurch
7400,Christchurch
7402,Christchurch
7410,Christchurch
7420,Christchurch
7430,Christchurch
7471,Christchurch
7472,Christchurch
7473,Christchurch
7475,Christchurch
7476,Christchurch
7477,Christchurch
7481,Christchurch
7482,Christchurch
7483,Christchurch
7491,Christchurch
7495,Christchurch
7500,Christchurch
7510,Christchurch
7520,Christchurch
7571,Christchurch
7572,Christchurch
7580,Christchurch
7581,Christchurch
7582,Christchurch
7583,Christchurch
7591,Christchurch
7600,Christchurch
7602,Christchurch
7604,Christchurch
7608,Christchurch
7610,Christchurch
7612,Christchurch
7614,Christchurch
7615,Christchurch
7616,Christchurch
7618,Christchurch
7630,Christchurch
7632,Christchurch
7670,Christchurch
7671,Christchurch
7672,Christchurch
7673,Christchurch
7674,Christchurch
7675,Christchurch
7676,Christchurch
7677,Christchurch
7678,Christchurch
7681,Christchurch
7682,Christchurch
7683,Christchurch
7691,Christchurch
7692,Christchurch
7700,Christchurch
7710,Christchurch
7730,Christchurch
7771,Christchurch
7772,Christchurch
7773,Christchurch
7774,Christchurch
7775,Christchurch
7776,Christchurch
7777,Christchurch
7778,Christchurch
7781,Christchurch
7782,Christchurch
7783,Christchurch
7784,Christchurch
7791,Christchurch
7802,West Coast
7803,West Coast
7804,West Coast
7805,West Coast
7810,West Coast
7811,West Coast
7812,West Coast
7822,West Coast
7823,West Coast
7824,West Coast
7825,West Coast
7830,West Coast
7832,West Coast
7871,West Coast
7872,West Coast
7873,West Coast
7875,West Coast
7881,West Coast
7882,West Coast
7883,West Coast
7884,West Coast
7885,West Coast
7886,West Coast
7891,West Coast
7892,West Coast
7893,West Coast
7895,West Coast
7901,Central Otago
7903,Christchurch
7910,Christchurch
7912,Christchurch
7920,Christchurch
7924,Christchurch
7925,Central Otago
7930,Christchurch
7971,Christchurch
7972,Christchurch
7973,Christchurch
7974,Christchurch
7975,Christchurch
7977,Christchurch
7978,Christchurch
7979,Christchurch
7980,Christchurch
7982,Christchurch
7983,Christchurch
7984,Central Otago
7985,Christchurch
7986,Christchurch
7987,Central Otago
7988,Christchurch
7990,Christchurch
7991,Christchurch
7992,Christchurch
7999,Central Otago
8011,Christchurch
8013,Christchurch
8014,Christchurch
8016,Unknown
8022,Christchurch
8023,Christchurch
8024,Christchurch
8025,Christchurch
8041,Christchurch
8042,Christchurch
8051,Christchurch
8052,Christchurch
8053,Christchurch
8061,Christchurch
8062,Christchurch
8081,Christchurch
8082,Christchurch
8083,Christchurch
8971,Christchurch
8972,Christchurch
9010,Dunedin
9011,Dunedin
9012,Dunedin
9013,Dunedin
9014,Dunedin
9016,Dunedin
9018,Dunedin
9019,Dunedin
9022,Dunedin
9023,Dunedin
9024,Dunedin
9035,Dunedin
9073,Dunedin
9074,Dunedin
9076,Dunedin
9077,Dunedin
9081,Dunedin
9082,Dunedin
9085,Dunedin
9091,Dunedin
9092,Dunedin
9210,Dunedin
9220,Dunedin
9230,Dunedin
9231,Dunedin
9271,Dunedin
9272,Dunedin
9273,Dunedin
9274,Dunedin
9281,Dunedin
9282,Dunedin
9291,Dunedin
9292,Dunedin
9300,Queenstown-Lakes
9302,Queenstown-Lakes
9304,Queenstown-Lakes
9305,Queenstown-Lakes
9310,Central Otago
9320,Central Otago
9330,Central Otago
9332,Central Otago
9371,Queenstown-Lakes
9372,Queenstown-Lakes
9376,Central Otago
9377,Central Otago
9382,Queenstown-Lakes
9383,Central Otago
9384,Central Otago
9386,Central Otago
9387,Central Otago
9391,Central Otago
9392,Central Otago
9393,Central Otago
9395,Central Otago
9396,Central Otago
9397,Central Otago
9398,Central Otago
9400,Dunedin
9401,Dunedin
9410,Dunedin
9412,Central Otago
9430,Dunedin
9435,Central Otago
9471,Dunedin
9472,Dunedin
9481,Dunedin
9482,Dunedin
9483,Dunedin
9491,Dunedin
9492,Dunedin
9493,Dunedin
9494,Dunedin
9495,Dunedin
9498,Christchurch
9500,Central Otago
9510,Dunedin
9522,Dunedin
9532,Dunedin
9534,Dunedin
9535,Dunedin
9571,Central Otago
9572,Central Otago
9583,Dunedin
9584,Dunedin
9585,Dunedin
9586,Dunedin
9587,Dunedin
9591,Dunedin
9593,Dunedin
9596,Dunedin
9597,Dunedin
9598,Dunedin
9600,Invercargill
9610,Invercargill
9620,Invercargill
9630,Invercargill
9635,Invercargill
9672,Invercargill
9679,Invercargill
9682,Invercargill
9683,Invercargill
9689,Invercargill
9691,Invercargill
9710,Invercargill
9712,Invercargill
9720,Invercargill
9730,Invercargill
9771,Dunedin
9772,Invercargill
9773,Invercargill
9774,Invercargill
9775,Dunedin
9776,Invercargill
9777,Invercargill
9778,Invercargill
9779,Invercargill
9781,Invercargill
9782,Invercargill
9783,Invercargill
9791,Invercargill
9792,Invercargill
9793,Invercargill
9794,Invercargill
9810,Invercargill
9812,Invercargill
9814,Invercargill
9816,Invercargill
9818,Invercargill
9822,Invercargill
9825,Invercargill
9831,Invercargill
9871,Invercargill
9872,Invercargill
9874,Invercargill
9875,Invercargill
9876,Invercargill
9877,Invercargill
9879,Invercargill
9881,Invercargill
9883,Invercargill
9884,Invercargill
9891,Invercargill
9892,Invercargill
9893,Invercargill
