postcode,edb_region
4203,CentraLines Ltd
4210,CentraLines Ltd
4271,CentraLines Ltd
4272,CentraLines Ltd
4273,CentraLines Ltd
4274,CentraLines Ltd
4275,CentraLines Ltd
4276,CentraLines Ltd
4277,CentraLines Ltd
4278,CentraLines Ltd
4279,CentraLines Ltd
4281,CentraLines Ltd
4282,CentraLines Ltd
4283,CentraLines Ltd
4284,CentraLines Ltd
4285,CentraLines Ltd
4286,CentraLines Ltd
4287,CentraLines Ltd
4288,CentraLines Ltd
4291,CentraLines Ltd
4292,CentraLines Ltd
4293,CentraLines Ltd
4294,Unison Networks Ltd
4295,CentraLines Ltd
4310,Powerco
4312,Powerco
4314,Powerco
4320,Powerco
4322,Powerco
4330,Powerco
4332,Powerco
4335,Powerco
4371,Powerco
4372,Powerco
4373,Powerco
4374,Powerco
4375,Powerco
4376,The Lines Company
4377,Powerco
4378,Powerco
4379,Powerco
4381,Powerco
4382,Powerco
4383,Powerco
4386,Powerco
4387,Powerco
4388,Powerco
4389,Powerco
4390,Powerco
4391,Powerco
4392,Powerco
4393,Powerco
4394,Powerco
4395,Powerco
4396,Powerco
4397,Powerco
4398,Powerco
4399,Powerco
4410,Powerco
4412,Powerco
4414,Powerco
4470,Powerco
4471,Powerco
4472,Powerco
4473,Powerco
4474,Electra
4475,Powerco
4476,Powerco
4477,Powerco
4478,Powerco
4479,Powerco
4481,Powerco
4500,Powerco
4501,Powerco
4510,Powerco
4520,Powerco
4571,Powerco
4572,Powerco
4573,Powerco
4574,Powerco
4575,Powerco
4576,Powerco
4577,Powerco
4578,Powerco
4581,Powerco
4582,Powerco
4584,Powerco
4585,Powerco
4586,Powerco
4587,Powerco
4588,Powerco
4591,Powerco
4592,Powerco
4597,Powerco
4598,Powerco
4610,Powerco
4612,Powerco
4614,Powerco
4616,Powerco
4625,The Lines Company
4632,Powerco
4671,Powerco
4672,Powerco
4673,Powerco
4674,Powerco
4675,Powerco
4678,Powerco
4679,Powerco
4681,Powerco
4682,Powerco
4684,Powerco
4685,Powerco
4691,The Lines Company
4694,Powerco
4696,The Lines Company
4702,Powerco
4710,Powerco
4720,Powerco
4730,Powerco
4771,Powerco
4774,Powerco
4775,Powerco
4777,Powerco
4779,Powerco
4780,Powerco
4781,Powerco
4782,Powerco
4783,Powerco
4784,Powerco
4785,Powerco
4786,Powerco
4787,Powerco
4788,Powerco
4789,Powerco
4791,Powerco
4792,Powerco
4793,Powerco
4794,Powerco
4795,Powerco
4796,Powerco
4797,Powerco
4810,Powerco
4814,Electra
4815,Electra
4816,Powerco
4817,Powerco
4818,Powerco
4820,Powerco
4821,Electra
4822,Powerco
4825,The Lines Company
4826,Powerco
4884,Powerco
4891,Electra
4893,Electra
4894,Powerco
4900,Powerco
4910,Powerco
4920,Scanpower Ltd
4930,Scanpower Ltd
4970,Scanpower Ltd
4971,Scanpower Ltd
4972,Scanpower Ltd
4973,Scanpower Ltd
4974,Scanpower Ltd
4975,Scanpower Ltd
4976,Scanpower Ltd
4977,Scanpower Ltd
4978,Scanpower Ltd
4979,Scanpower Ltd
4981,Powerco
4982,Powerco
4983,Powerco
4984,Powerco
4985,Powerco
4986,Powerco
4987,Powerco
4988,Powerco
4989,Powerco
4990,Powerco
4991,Powerco
4992,Powerco
4993,Powerco
4994,Powerco
4995,Powerco
4996,Powerco
4997,Scanpower Ltd
4998,Scanpower Ltd
4999,Scanpower Ltd
5010,Wellington Electricity
5011,Wellington Electricity
5012,Wellington Electricity
5013,Wellington Electricity
5014,Wellington Electricity
5016,Wellington Electricity
5018,Wellington Electricity
5019,Wellington Electricity
5022,Wellington Electricity
5024,Wellington Electricity
5026,Wellington Electricity
5028,Wellington Electricity
5032,Electra
5034,Electra
5036,Electra
5371,Wellington Electricity
5372,Wellington Electricity
5373,Wellington Electricity
5381,Wellington Electricity
5391,Electra
5510,Electra
5512,Electra
5570,Electra
5571,Electra
5572,Electra
5573,Electra
5574,Electra
5575,Electra
5581,Electra
5582,Electra
5583,Powerco
5710,Powerco
5711,Powerco
5712,Powerco
5713,Powerco
5771,Powerco
5772,Powerco
5773,Powerco
5781,Powerco
5782,Powerco
5783,Powerco
5784,Powerco
5791,Powerco
5792,Powerco
5794,Powerco
5810,Powerco
5871,Powerco
5872,Powerco
5881,Powerco
5882,Powerco
5883,Powerco
5884,Powerco
5885,Powerco
5886,Powerco
5887,Powerco
5888,Powerco
5889,Powerco
5890,Powerco
5894,Powerco
6011,Wellington Electricity
6012,Wellington Electricity
6021,Wellington Electricity
6022,Wellington Electricity
6023,Wellington Electricity
6035,Wellington Electricity
6037,Wellington Electricity
6972,Wellington Electricity
7005,Network Tasman Ltd
7007,Network Tasman Ltd
7010,Network Tasman Ltd
7011,Network Tasman Ltd
7020,Network Tasman Ltd
7022,Network Tasman Ltd
7025,Network Tasman Ltd
7071,Network Tasman Ltd
7072,Network Tasman Ltd
7073,Network Tasman Ltd
7077,Network Tasman Ltd
7081,Network Tasman Ltd
7091,Network Tasman Ltd
7095,Network Tasman Ltd
7096,Network Tasman Ltd
7100,Marlborough Lines Ltd
7110,Network Tasman Ltd
7120,Network Tasman Ltd
7173,Network Tasman Ltd
7175,Network Tasman Ltd
7178,Marlborough Lines Ltd
7182,Network Tasman Ltd
7183,Network Tasman Ltd
7192,Marlborough Lines Ltd
7193,Marlborough Lines Ltd
7194,Marlborough Lines Ltd
7195,Marlborough Lines Ltd
7196,Network Tasman Ltd
7197,Network Tasman Ltd
7198,Network Tasman Ltd
7201,Marlborough Lines Ltd
7202,Marlborough Lines Ltd
7204,Marlborough Lines Ltd
7206,Marlborough Lines Ltd
7210,Marlborough Lines Ltd
7220,Marlborough Lines Ltd
7271,Marlborough Lines Ltd
7272,Marlborough Lines Ltd
7273,Marlborough Lines Ltd
7274,Marlborough Lines Ltd
7275,Marlborough Lines Ltd
7276,Marlborough Lines Ltd
7281,Marlborough Lines Ltd
7282,Marlborough Lines Ltd
7284,Marlborough Lines Ltd
7285,Marlborough Lines Ltd
7300,MainPower NZ Ltd
7310,MainPower NZ Ltd
7332,MainPower NZ Ltd
7334,MainPower NZ Ltd
7371,Marlborough Lines Ltd
7373,MainPower NZ Ltd
7374,MainPower NZ Ltd
7379,MainPower NZ Ltd
7381,MainPower NZ Ltd
7382,MainPower NZ Ltd
7383,MainPower NZ Ltd
7384,MainPower NZ Ltd
7385,MainPower NZ Ltd
7387,MainPower NZ Ltd
7391,MainPower NZ Ltd
7392,MainPower NZ Ltd
7395,MainPower NZ Ltd
7400,MainPower NZ Ltd
7402,MainPower NZ Ltd
7410,MainPower NZ Ltd
7420,MainPower NZ Ltd
7430,MainPower NZ Ltd
7471,MainPower NZ Ltd
7472,MainPower NZ Ltd
7473,MainPower NZ Ltd
7475,MainPower NZ Ltd
7476,MainPower NZ Ltd
7477,MainPower NZ Ltd
7481,MainPower NZ Ltd
7482,MainPower NZ Ltd
7483,MainPower NZ Ltd
7491,MainPower NZ Ltd
7495,MainPower NZ Ltd
7500,Orion New Zealand Ltd
7510,Orion New Zealand Ltd
7520,Orion New Zealand Ltd
7571,Orion New Zealand Ltd
7572,Orion New Zealand Ltd
7580,Orion New Zealand Ltd
7581,Orion New Zealand Ltd
7582,Orion New Zealand Ltd
7583,Orion New Zealand Ltd
7591,Orion New Zealand Ltd
7600,Orion New Zealand Ltd
7602,Orion New Zealand Ltd
7604,Orion New Zealand Ltd
7608,Orion New Zealand Ltd
7610,MainPower NZ Ltd
7612,MainPower NZ Ltd
7614,Orion New Zealand Ltd
7615,Orion New Zealand Ltd
7616,Orion New Zealand Ltd
7618,Orion New Zealand Ltd
7630,MainPower NZ Ltd
7632,Orion New Zealand Ltd
7670,Orion New Zealand Ltd
7671,Orion New Zealand Ltd
7672,Orion New Zealand Ltd
7673,Orion New Zealand Ltd
7674,Orion New Zealand Ltd
7675,Orion New Zealand Ltd
7676,Orion New Zealand Ltd
7677,Orion New Zealand Ltd
7678,Orion New Zealand Ltd
7681,Orion New Zealand Ltd
7682,Orion New Zealand Ltd
7683,Orion New Zealand Ltd
7691,MainPower NZ Ltd
7692,MainPower NZ Ltd
7700,EA Networks
7710,EA Networks
7730,EA Networks
7771,EA Networks
7772,EA Networks
7773,EA Networks
7774,EA Networks
7775,EA Networks
7776,EA Networks
7777,EA Networks
7778,EA Networks
7781,EA Networks
7782,EA Networks
7783,Orion New Zealand Ltd
7784,EA Networks
7791,EA Networks
7802,Westpower Ltd
7803,Westpower Ltd
7804,Westpower Ltd
7805,Westpower Ltd
7810,Westpower Ltd
7811,Westpower Ltd
7812,Westpower Ltd
7822,Buller Electricity
7823,Buller Electricity
7824,Buller Electricity
7825,Buller Electricity
7830,Westpower Ltd
7832,Westpower Ltd
7871,Westpower Ltd
7872,Westpower Ltd
7873,Westpower Ltd
7875,Westpower Ltd
7881,Westpower Ltd
7882,Westpower Ltd
7883,Westpower Ltd
7884,Westpower Ltd
7885,Westpower Ltd
7886,Westpower Ltd
7891,Buller Electricity
7892,Buller Electricity
7893,Buller Electricity
7895,Westpower Ltd
7901,Alpine Energy
7903,Alpine Energy
7910,Alpine Energy
7912,Alpine Energy
7920,Alpine Energy
7924,Alpine Energy
7925,Alpine Energy
7930,Alpine Energy
7971,Alpine Energy
7972,Alpine Energy
7973,Alpine Energy
7974,Alpine Energy
7975,Alpine Energy
7977,Alpine Energy
7978,Alpine Energy
7979,Alpine Energy
7980,Alpine Energy
7982,Alpine Energy
7983,Alpine Energy
7984,Alpine Energy
7985,Alpine Energy
7986,Alpine Energy
7987,Alpine Energy
7988,Alpine Energy
7990,EA Networks
7991,Alpine Energy
7992,Alpine Energy
7999,Alpine Energy
8011,Orion New Zealand Ltd
8013,Orion New Zealand Ltd
8014,Orion New Zealand Ltd
8016,Unknown
8022,Orion New Zealand Ltd
8023,Orion New Zealand Ltd
8024,Orion New Zealand Ltd
8025,Orion New Zealand Ltd
8041,Orion New Zealand Ltd
8042,Orion New Zealand Ltd
8051,Orion New Zealand Ltd
8052,Orion New Zealand Ltd
8053,Orion New Zealand Ltd
8061,Orion New Zealand Ltd
8062,Orion New Zealand Ltd
8081,Orion New Zealand Ltd
8082,Orion New Zealand Ltd
8083,Orion New Zealand Ltd
8971,Orion New Zealand Ltd
8972,Orion New Zealand Ltd
9010,Aurora Energy
9011,Aurora Energy
9012,Aurora Energy
9013,Aurora Energy
9014,Aurora Energy
9016,Aurora Energy
9018,Aurora Energy
9019,Aurora Energy
9022,Aurora Energy
9023,Aurora Energy
9024,Aurora Energy
9035,Aurora Energy
9073,Aurora Energy
9074,OtagoNet
9076,Aurora Energy
9077,Aurora Energy
9081,OtagoNet
9082,OtagoNet
9085,Aurora Energy
9091,OtagoNet
9092,Aurora Energy
9210,OtagoNet
9220,OtagoNet
9230,OtagoNet
9231,OtagoNet
9271,OtagoNet
9272,OtagoNet
9273,OtagoNet
9274,OtagoNet
9281,OtagoNet
9282,OtagoNet
9291,OtagoNet
9292,OtagoNet
9300,Aurora Energy
9302,Aurora Energy
9304,Aurora Energy
9305,Aurora Energy
9310,Aurora Energy
9320,Aurora Energy
9330,Aurora Energy
9332,OtagoNet
9371,Aurora Energy
9372,Aurora Energy
9376,Aurora Energy
9377,Aurora Energy
9382,Aurora Energy
9383,Aurora Energy
9384,Aurora Energy
9386,Aurora Energy
9387,Aurora Energy
9391,Aurora Energy
9392,Aurora Energy
9393,Aurora Energy
9395,OtagoNet
9396,OtagoNet
9397,OtagoNet
9398,OtagoNet
9400,Network Waitaki
9401,Network Waitaki
9410,Network Waitaki
9412,Network Waitaki
9430,OtagoNet
9435,Network Waitaki
9471,OtagoNet
9472,OtagoNet
9481,OtagoNet
9482,Network Waitaki
9483,OtagoNet
9491,Network Waitaki
9492,Network Waitaki
9493,Network Waitaki
9494,Network Waitaki
9495,Network Waitaki
9498,Network Waitaki
9500,Aurora Energy
9510,OtagoNet
9522,The Power Company Ltd
9532,OtagoNet
9534,OtagoNet
9535,OtagoNet
9571,Aurora Energy
9572,Aurora Energy
9583,OtagoNet
9584,OtagoNet
9585,OtagoNet
9586,OtagoNet
9587,The Power Company Ltd
9591,OtagoNet
9593,OtagoNet
9596,OtagoNet
9597,OtagoNet
9598,OtagoNet
9600,The Power Company Ltd
9610,The Power Company Ltd
9620,The Power Company Ltd
9630,The Power Company Ltd
9635,The Power Company Ltd
9672,The Power Company Ltd
9679,The Power Company Ltd
9682,The Power Company Ltd
9683,The Power Company Ltd
9689,The Power Company Ltd
9691,The Power Company Ltd
9710,The Power Company Ltd
9712,The Power Company Ltd
9720,The Power Company Ltd
9730,The Power Company Ltd
9771,The Power Company Ltd
9772,The Power Company Ltd
9773,The Power Company Ltd
9774,The Power Company Ltd
9775,The Power Company Ltd
9776,The Power Company Ltd
9777,The Power Company Ltd
9778,The Power Company Ltd
9779,The Power Company Ltd
9781,The Power Company Ltd
9782,The Power Company Ltd
9783,The Power Company Ltd
9791,The Power Company Ltd
9792,The Power Company Ltd
9793,The Power Company Ltd
9794,The Power Company Ltd
9810,Electricity Invercargill Ltd
9812,Electricity Invercargill Ltd
9814,Electricity Invercargill Ltd
9816,The Power Company Ltd
9818,Stewart Island Electrical Supply Authority
9822,The Power Company Ltd
9825,The Power Company Ltd
9831,The Power Company Ltd
9871,The Power Company Ltd
9872,The Power Company Ltd
9874,The Power Company Ltd
9875,The Power Company Ltd
9876,The Power Company Ltd
9877,The Power Company Ltd
9879,The Power Company Ltd
9881,The Power Company Ltd
9883,The Power Company Ltd
9884,The Power Company Ltd
9891,The Power Company Ltd
9892,The Power Company Ltd
9893,The Power Company Ltd
